Erasure code scheme,buffer size,number of cores,hardware type,encode runtime [usec],decode runtime [usec],encode bandwidth [MB/S],decode bandwidth [MB/S]
10-2,33554432,1,intel core i7-6700 CPU-3.40GHZ,1859481,1868229,10826.866206,10776.169303
10-2,33554432,2,intel core i7-6700 CPU-3.40GHZ,2293440,2424599,8778.233571,8303.373877
10-2,33554432,2,intel core i7-6700 CPU-3.40GHZ,2471762,2267157,8144.939521,8879.999047
10-2,33554432,3,intel core i7-6700 CPU-3.40GHZ,2621162,3199945,7680.69734,6291.468135
10-2,33554432,3,intel core i7-6700 CPU-3.40GHZ,3184814,3007192,6321.358798,6694.73449
10-2,33554432,3,intel core i7-6700 CPU-3.40GHZ,3450862,2654667,5834.006692,7583.757963
10-2,33554432,4,intel core i7-6700 CPU-3.40GHZ,2447411,4187797,8225.979208,4807.384885
10-2,33554432,4,intel core i7-6700 CPU-3.40GHZ,3331565,3749858,6042.911364,5368.8305
10-2,33554432,4,intel core i7-6700 CPU-3.40GHZ,4281322,3207846,4702.3681,6275.972101
10-2,33554432,4,intel core i7-6700 CPU-3.40GHZ,4308834,2643489,4672.343376,7615.825903
10-2,67108864,1,intel core i7-6700 CPU-3.40GHZ,3806472,3798493,10578.07986,10600.299856
10-2,67108864,2,intel core i7-6700 CPU-3.40GHZ,4703971,4856604,8559.8242,8290.806662
10-2,67108864,2,intel core i7-6700 CPU-3.40GHZ,4919788,4683441,8184.329243,8597.346438
10-2,67108864,3,intel core i7-6700 CPU-3.40GHZ,6024831,6542730,6683.202367,6154.184079
10-2,67108864,3,intel core i7-6700 CPU-3.40GHZ,6418225,6335697,6273.567038,6355.28574
10-2,67108864,3,intel core i7-6700 CPU-3.40GHZ,6713783,6021103,5997.388477,6687.34031
10-2,67108864,4,intel core i7-6700 CPU-3.40GHZ,7310400,8710140,5507.929087,4622.791918
10-2,67108864,4,intel core i7-6700 CPU-3.40GHZ,7620897,8042718,5283.520404,5006.412608
10-2,67108864,4,intel core i7-6700 CPU-3.40GHZ,8488621,7610516,4743.428267,5290.727304
10-2,67108864,4,intel core i7-6700 CPU-3.40GHZ,8644148,7245100,4658.083689,5557.571987
10-2,134217728,1,intel core i7-6700 CPU-3.40GHZ,7990794,8025655,10077.88833,10034.113054
10-2,134217728,2,intel core i7-6700 CPU-3.40GHZ,9671390,9834749,8326.655176,8188.3462
10-2,134217728,2,intel core i7-6700 CPU-3.40GHZ,10019622,9682613,8037.262244,8317.00385
10-2,134217728,3,intel core i7-6700 CPU-3.40GHZ,12856373,13400988,6263.845145,6009.283017
10-2,134217728,3,intel core i7-6700 CPU-3.40GHZ,13091817,13220901,6151.195789,6091.137783
10-2,134217728,3,intel core i7-6700 CPU-3.40GHZ,13665832,12789672,5892.823035,6296.512499
10-2,134217728,4,intel core i7-6700 CPU-3.40GHZ,14963628,16509162,5381.738279,4877.917462
10-2,134217728,4,intel core i7-6700 CPU-3.40GHZ,16692957,16463319,4824.209971,4891.500286
10-2,134217728,4,intel core i7-6700 CPU-3.40GHZ,17051595,16108058,4722.744682,4999.381651
10-2,134217728,4,intel core i7-6700 CPU-3.40GHZ,17970688,15210077,4481.204593,5294.53793
10-2,268435456,1,intel core i7-6700 CPU-3.40GHZ,15134424,15226264,10642.038309,10577.848906
10-2,268435456,2,intel core i7-6700 CPU-3.40GHZ,19663272,19714371,8190.962318,8169.731614
10-2,268435456,2,intel core i7-6700 CPU-3.40GHZ,19902956,19704594,8092.321563,8173.78526
10-2,268435456,3,intel core i7-6700 CPU-3.40GHZ,25602617,26204119,6290.806912,6146.404693
10-2,268435456,3,intel core i7-6700 CPU-3.40GHZ,26926234,26689852,5981.568756,6034.545265
10-2,268435456,3,intel core i7-6700 CPU-3.40GHZ,27071652,26249957,5949.43818,6135.671765
10-2,268435456,4,intel core i7-6700 CPU-3.40GHZ,29497915,30960330,5460.084891,5202.177109
10-2,268435456,4,intel core i7-6700 CPU-3.40GHZ,31851417,30791129,5056.639081,5230.763705
10-2,268435456,4,intel core i7-6700 CPU-3.40GHZ,32679593,30214260,4928.492224,5330.632622
10-2,268435456,4,intel core i7-6700 CPU-3.40GHZ,32762429,31460643,4916.031104,5119.447813
10-2,536870912,1,intel core i7-6700 CPU-3.40GHZ,27132513,26890184,11872.185964,11979.175747
10-2,536870912,2,intel core i7-6700 CPU-3.40GHZ,35376459,35056063,9105.553498,9188.773993
